Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V_2.csv" 
"Starttime of export" 133014769934170000 "dinsdag 5 juli 2022" 08:43:13.417 
"Endtime of export" 133014770241547049 "dinsdag 5 juli 2022" 08:43:44.154 


Name AI_df1 AI_df2 AI_dPtie1

2640 -3 -2 -13
2650 -3 0 -12
2660 -3 1 -12
2670 -3 -2 -15
2680 -3 -3 -15
2690 -4 -3 -12
2700 -5 -3 -13
2710 -4 -3 -15
2720 -4 -2 -15
2730 -4 -2 -14
2740 -4 -3 -15
2750 -4 -2 -15
2760 -4 -3 -14
2770 -4 -2 -15
2780 -4 0 -14
2790 -4 0 -15
2800 -4 0 -17
2810 -5 -4 -17
2820 -5 -4 -17
2830 -4 -3 -17
2840 -3 -3 -15
2850 -3 -2 -14
2860 -3 0 -14
2870 -4 0 -14
2880 -3 -2 -15
2890 -4 -3 -14
2900 -3 -4 -11
2910 -2 -4 -12
2920 -4 -5 -14
2930 -2 -2 -14
2940 0 0 -12
2950 -2 -3 -13
2960 -3 -4 -15
2970 -4 -4 -14
2980 -4 -4 -14
2990 -4 -3 -14
3000 -3 -2 -13
3010 -3 -3 -13
3020 -3 -3 -15
3030 -4 0 -15
3040 -4 -2 -13
3050 -4 -2 -13
3060 -4 -2 -14
3070 -4 -5 -15
3080 -3 -5 -13
3090 -3 -4 -12
3100 -4 -4 -12
3110 -4 -4 -13
3120 -4 -5 -15
3130 -5 -4 -14
3140 -4 0 -13
3150 -4 -3 -13
3160 -3 -5 -14
3170 -2 -4 -15
3180 -4 -2 -13
3190 -4 0 -13
3200 -4 0 -14
3210 -5 -2 -15
3220 -6 -3 -17
3230 -5 -2 -17
3240 -5 -3 -15
3250 -4 -4 -14
3260 -4 -3 -15
3270 -5 -2 -17
3280 -5 0 -15
3290 -2 0 -14
3300 -3 -2 -13
3310 -4 -4 -14
3320 -2 -3 -12
3330 0 1 -11
3340 -2 -2 -13
3350 -5 -4 -14
3360 -4 -4 -14
3370 -3 -4 -15
3380 -4 -4 -15
3390 -4 -4 -14
3400 -3 -5 -14
3410 -4 -4 -13
3420 -3 -3 -12
3430 -3 0 -13
3440 -3 2 -15
3450 -4 -2 -13
3460 -4 -3 -15
3470 -4 -3 -17
3480 -4 -2 -13
3490 -4 -2 -14
3500 -5 -3 -15
3510 -5 -3 -15
3520 -2 -2 -15
3530 0 1 -17
3540 -3 -2 -14
3550 -4 -3 -11
3560 -4 0 -13
3570 -4 -3 -13
3580 -2 -2 -12
3590 -2 1 -13
3600 -4 0 -14
3610 -5 0 -15
3620 -4 -2 -14
3630 -5 -4 -14
3640 -5 -6 -15
3650 -5 -6 -14
3660 -4 -2 -14
3670 -3 2 -13
3680 -5 0 -13
3690 -5 -4 -13
3700 -4 -2 -14
3710 -4 -3 -13
3720 -5 -4 -11
3730 -5 -4 -14
3740 -3 -3 -14
3750 -2 -3 -14
3760 -2 -3 -12
3770 -2 -4 -12
3780 -3 -4 -14
3790 -4 -4 -14
3800 -4 -4 -14
3810 -4 -2 -17
3820 -5 -2 -18
3830 -4 -2 -17
3840 -5 -2 -14
3850 -5 -2 -13
3860 -3 -2 -17
3870 -3 0 -17
3880 -3 0 -14
3890 -3 1 -14
3900 -4 0 -13
3910 -5 -4 -13
3920 -4 -4 -14
3930 -3 -2 -14
3940 -3 -2 -12
3950 -3 -3 -12
3960 -3 -3 -15
3970 -5 -2 -13
3980 -5 1 -13
3990 -3 0 -15
4000 -2 0 -14
4010 -3 -4 -14
4020 -5 -4 -13
4030 -6 0 -14
4040 -5 0 -14
4050 -5 -2 -13
4060 -5 -2 -14
4070 -4 -2 -15
4080 -4 -3 -15
4090 -4 0 -14
4100 -5 -3 -15
4110 -6 -4 -15
4120 -4 -4 -14
4130 -5 -4 -11
4140 -3 -2 -11
4150 -3 0 -13
4160 -3 1 -12
4170 -3 0 -11
4180 -4 -3 -14
4190 -5 -5 -18
4200 -5 -2 -17
4210 -4 1 -15
4220 -4 1 -13
4230 -4 -2 -14
4240 -4 -2 -15
4250 -3 0 -14
4260 -4 -3 -13
4270 -3 -3 -13
4280 0 -2 -14
4290 -2 -3 -15
4300 -4 0 -13
4310 -4 1 -13
4320 -4 -2 -15
4330 -4 0 -14
4340 -3 -2 -15
4350 -5 -4 -17
4360 -5 -2 -17
4370 -4 -3 -14
4380 0 -4 -13
4390 0 0 -13
4400 -4 0 -14
4410 -5 0 -14
4420 -4 0 -14
4430 -5 -2 -14
4440 -4 -2 -13
4450 -4 0 -12
4460 -4 -2 -14
4470 -4 -4 -17
4480 -5 -4 -17
4490 -5 -2 -15
4500 -4 0 -14
4510 -4 -3 -15
4520 -3 -3 -15
4530 -3 -2 -14
4540 -4 -2 -15
4550 -4 0 -15
4560 -5 1 -17
4570 -5 -2 -15
4580 -5 -3 -15
4590 -5 -3 -14
4600 -3 -2 -14
4610 -3 -2 -14
4620 -4 -3 -12
4630 -5 -3 -12
4640 -4 0 -13
4650 -3 1 -14
4660 -3 1 -15
4670 -3 0 -15
4680 -3 -2 -14
4690 -5 -3 -17
4700 -5 -3 -15
4710 -2 0 -13
4720 0 1 -13
4730 -3 0 -13
4740 -4 0 -13
4750 -5 0 -14
4760 -5 -3 -14
4770 -4 -2 -13
4780 -3 -2 -13
4790 -3 -3 -14
4800 -3 -2 -15
4810 -2 0 -14
4820 -4 -2 -14
4830 -4 -4 -14
4840 -3 -3 -14
4850 -4 -2 -14
4860 -4 -3 -14
4870 -4 -4 -14
4880 -5 -3 -14
4890 -5 -3 -13
4900 -5 0 -15
4910 -5 2 -17
4920 -4 1 -14
4930 -3 -2 -14
4940 -4 0 -14
4950 -4 0 -14
4960 -4 0 -14
4970 -3 0 -13
4980 -3 -2 -14
4990 -4 -3 -17
5000 -4 -2 -15
5010 -4 -2 -15
5020 -4 -4 -14
5030 -4 -3 -14
5040 -4 -3 -15
5050 -4 -2 -17
5060 -3 -2 -15
5070 -3 -3 -14
5080 -4 -3 -14
5090 -4 -2 -14
5100 -3 0 -15
5110 -3 0 -14
5120 -6 -2 -13
5130 -6 -2 -13
5140 -4 -2 -13
5150 -4 -4 -14
5160 -4 -5 -15
5170 -2 -2 -15
5180 -3 -2 -14
5190 -4 -3 -13
5200 -3 -2 -13
5210 -3 -2 -14
5220 -3 0 -14
5230 -3 1 -13
5240 -4 1 -12
5250 -4 -2 -14
5260 -3 -3 -14
5270 -2 -2 -13
5280 -3 -2 -14
5290 -4 0 -14
5300 -4 -3 -15
5310 -3 -5 -15
5320 -4 -3 -15
5330 -4 -3 -15
5340 -5 -3 -13
5350 -6 -2 -14
5360 -4 -2 -15
5370 -4 -3 -14
5380 -5 -3 -14
5390 -5 -6 -15
5400 -6 -4 -17
5410 -5 0 -15
5420 -3 0 -14
5430 -3 2 -15
5440 -3 0 -18
5450 -3 -4 -17
5460 -3 -4 -15
5470 -4 -5 -15
5480 -5 -5 -14
5490 -3 -4 -14
5500 0 -2 -14
5510 -3 -3 -12
5520 -4 -3 -12
5530 -4 0 -14
5540 -3 -3 -14
5550 -4 -2 -15
5560 -4 0 -15
5570 -2 0 -14
5580 -3 -3 -13
5590 -4 -3 -14
5600 -3 -4 -17
5610 -3 -4 -15
5620 -3 -3 -14
5630 -3 -2 -14
5640 -3 0 -15
5650 -2 1 -15
5660 -3 -2 -14
5670 -4 -3 -13
5680 -3 -3 -13
5690 -4 -5 -18
5700 -4 -3 -17
5710 -4 1 -17
5720 -4 1 -18
5730 -4 0 -14
5740 -4 0 -14
5750 -4 -2 -15
5760 -5 -2 -14
5770 -3 -3 -17
5780 -2 -2 -17
5790 -4 -3 -14
5800 -4 -3 -15
5810 -3 -2 -15
5820 -3 -2 -14
5830 -4 -4 -14
5840 -4 -5 -14
5850 -4 -3 -13
5860 -4 -3 -14
5870 -3 -3 -15
5880 -3 -3 -14
5890 -3 -2 -14
5900 -4 -3 -15
5910 -3 -3 -15
5920 -2 -3 -15
5930 -3 -4 -14
5940 -4 -3 -13
5950 -5 -3 -13
5960 -5 -4 -17
5970 -4 -3 -15
5980 -4 -4 -13
5990 -3 -3 -12
6000 -3 -3 -15
6010 -3 -4 -18
6020 -3 -2 -15
6030 -5 -3 -13
6040 -5 -3 -15
6050 -3 -2 -14
6060 -4 0 -14
6070 -4 0 -15
6080 -3 -2 -15
6090 -3 -2 -15
6100 -4 -3 -17
6110 -5 -3 -15
6120 -5 -3 -14
6130 -5 -3 -15
6140 -5 -3 -14
6150 -5 -2 -14
6160 -3 1 -14
6170 -3 -2 -14
6180 -3 -5 -15
6190 -3 -3 -15
6200 -4 -3 -15
6210 -4 -4 -14
6220 -4 -2 -14
6230 -3 1 -13
6240 -4 -2 -13
6250 -5 -2 -12
6260 -4 -2 -13
6270 -3 -3 -14
6280 -4 -3 -14
6290 -4 -2 -15
6300 -2 0 -15
6310 -3 -2 -14
6320 -4 -2 -12
6330 -3 -3 -14
6340 -3 -3 -14
6350 -3 -2 -14
6360 -4 -3 -15
6370 -4 -5 -15
6380 -3 -3 -17
6390 -3 -4 -17
6400 -3 -4 -15
6410 -2 -2 -14
6420 -3 -2 -14
6430 -5 -3 -14
6440 -5 -4 -15
6450 -4 -2 -15
6460 -3 0 -14
6470 -5 -3 -15
6480 -5 -2 -15
6490 -4 -2 -14
6500 -4 -2 -17
6510 -3 -2 -17
6520 -4 -3 -14
6530 -5 -3 -15
6540 -3 -3 -15
6550 -4 -3 -15
6560 -5 -4 -14
6570 -4 -4 -14
6580 -4 -3 -14
6590 -4 1 -13
6600 -5 1 -12
6610 -6 -2 -13
6620 -4 -2 -13
6630 -4 -2 -13
6640 -4 -2 -14
6650 -3 -3 -12
6660 -4 -2 -12
6670 -5 -2 -15
6680 -5 -3 -17
6690 -4 -3 -15
6700 -3 -3 -14
6710 -3 -3 -15
6720 -3 -3 -14
6730 -3 0 -13
6740 -3 1 -17
6750 -3 1 -18
6760 -4 -2 -14
6770 -6 -4 -13
6780 -5 -4 -14
6790 -4 -4 -15
6800 -6 -3 -14
