Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas9V_2.csv" 
"Starttime of export" 133014813237620000 "dinsdag 5 juli 2022" 09:55:23.762 
"Endtime of export" 133014813569792950 "dinsdag 5 juli 2022" 09:55:56.979 


Name AI_df1 AI_df2 AI_dPtie1

0 29523 29524 29516
10 29523 29523 29516
20 29521 29521 29514
30 29519 29523 29514
40 29519 29524 29516
50 29519 29525 29517
60 29523 29521 29516
70 29523 29520 29516
80 29524 29523 29518
90 29523 29525 29518
100 29523 29525 29517
110 29523 29524 29517
120 29521 29524 29518
130 29523 29526 29518
140 29523 29524 29517
150 29521 29521 29517
160 29521 29523 29516
170 29525 29525 29515
180 29525 29525 29518
190 29523 29525 29519
200 29520 29524 29516
210 29519 29523 29514
220 29521 29524 29516
230 29523 29524 29516
240 29521 29523 29517
250 29523 29525 29518
260 29523 29525 29519
270 29524 29524 29519
280 29524 29523 29517
290 29524 29523 29516
300 29524 29524 29516
310 29524 29524 29519
320 29524 29524 29519
330 29525 29524 29518
340 29523 29524 29516
350 29521 29524 29517
360 29523 29521 29517
370 29523 29523 29518
380 29521 29525 29518
390 29521 29525 29515
400 29523 29524 29514
410 29523 29524 29516
420 29521 29521 29517
430 29521 29523 29517
440 29523 29524 29518
450 29521 29521 29519
460 29523 29521 29519
470 29524 29523 29519
480 29523 29523 29517
490 29525 29523 29517
500 29524 29523 29515
510 29524 29523 29517
520 29525 29524 29518
530 29524 29523 29517
540 29523 29521 29518
550 29523 29524 29518
560 29524 29524 29517
570 29523 29524 29517
580 29520 29523 29519
590 29519 29524 29518
600 29521 29524 29517
610 29523 29521 29516
620 29524 29521 29516
630 29524 29521 29516
640 29524 29525 29517
650 29526 29526 29516
660 29526 29526 29516
670 29526 29524 29517
680 29523 29520 29518
690 29523 29523 29517
700 29526 29524 29517
710 29526 29521 29518
720 29525 29524 29518
730 29526 29524 29516
740 29525 29521 29517
750 29523 29520 29516
760 29525 29521 29517
770 29524 29524 29519
780 29523 29523 29518
790 29523 29524 29516
800 29523 29525 29515
810 29525 29524 29514
820 29524 29524 29516
830 29524 29523 29518
840 29521 29523 29519
850 29520 29521 29517
860 29523 29523 29517
870 29523 29524 29518
880 29523 29525 29518
890 29524 29526 29518
900 29524 29524 29518
910 29524 29521 29518
920 29521 29524 29518
930 29523 29525 29519
940 29524 29523 29516
950 29524 29525 29516
960 29523 29524 29516
970 29520 29521 29516
980 29521 29520 29518
990 29523 29521 29518
1000 29523 29520 29515
1010 29523 29520 29514
1020 29525 29521 29516
1030 29526 29523 29518
1040 29524 29524 29519
1050 29524 29525 29518
1060 29525 29526 29521
1070 29524 29523 29521
1080 29523 29523 29518
1090 29523 29524 29517
1100 29524 29525 29519
1110 29525 29523 29521
1120 29524 29523 29518
1130 29521 29523 29516
1140 29524 29523 29518
1150 29525 29525 29521
1160 29524 29524 29517
1170 29524 29525 29516
1180 29525 29523 29515
1190 29525 29521 29516
1200 29525 29525 29518
1210 29521 29526 29516
1220 29521 29525 29516
1230 29523 29525 29516
1240 29524 29526 29521
1250 29524 29526 29522
1260 29523 29525 29518
1270 29523 29524 29518
1280 29525 29524 29519
1290 29527 29524 29521
1300 29525 29523 29519
1310 29524 29525 29518
1320 29524 29527 29517
1330 29525 29525 29518
1340 29524 29521 29519
1350 29523 29520 29518
1360 29523 29523 29516
1370 29520 29523 29516
1380 29520 29523 29517
1390 29521 29523 29519
1400 29523 29523 29518
1410 29523 29523 29517
1420 29521 29524 29516
1430 29521 29524 29516
1440 29523 29523 29521
1450 29523 29524 29519
1460 29521 29524 29516
1470 29521 29524 29512
1480 29523 29524 29516
1490 29524 29523 29519
1500 29524 29524 29517
1510 29525 29521 29518
1520 29525 29520 29517
1530 29524 29521 29516
1540 29523 29524 29517
1550 29523 29525 29516
1560 29521 29523 29516
1570 29523 29523 29517
1580 29525 29523 29518
1590 29525 29521 29516
1600 29524 29523 29517
1610 29524 29524 29517
1620 29524 29523 29517
1630 29524 29524 29517
1640 29523 29526 29517
1650 29523 29526 29519
1660 29523 29525 29522
1670 29524 29524 29519
1680 29525 29524 29516
1690 29525 29525 29518
1700 29523 29525 29517
1710 29521 29521 29516
1720 29521 29519 29518
1730 29523 29520 29519
1740 29523 29525 29517
1750 29525 29524 29517
1760 29524 29523 29517
1770 29523 29526 29519
1780 29524 29523 29518
1790 29523 29520 29517
1800 29521 29523 29518
1810 29521 29521 29516
1820 29520 29524 29516
1830 29519 29524 29516
1840 29520 29521 29516
1850 29521 29521 29519
1860 29523 29523 29521
1870 29525 29525 29522
1880 29523 29525 29521
1890 29521 29525 29519
1900 29524 29525 29519
1910 29524 29524 29517
1920 29521 29523 29516
1930 29521 29524 29517
