Name	YT Scope Project	
File	H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V.csv	
Starttime of export	133014769934170000	dinsdag 5 juli 2022	08:43:13.417
Endtime of export	133014770253842131	dinsdag 5 juli 2022	08:43:45.384


Name	AI_df1	Name	AI_df2	Name	AI_dPtie1
SymbolComment	frequency area 1	SymbolComment	frequency area 2	SymbolComment	tie-line power flow
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	61472	IndexGroup	61472
IndexOffset	385000	IndexOffset	385002	IndexOffset	385004
SymbolName	MAIN.AI_df1	SymbolName	MAIN.AI_df2	SymbolName	MAIN.AI_dPtie1
NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

1570	-6	1570	-2	1570	-13
1580	-6	1580	1	1580	-13
1590	-4	1590	-4	1590	-12
1600	-5	1600	-5	1600	-13
1610	-6	1610	-2	1610	-14
1620	-4	1620	-3	1620	-15
1630	-3	1630	-4	1630	-17
1640	-3	1640	-3	1640	-17
1650	-3	1650	-3	1650	-15
1660	-5	1660	-4	1660	-14
1670	-5	1670	-3	1670	-14
1680	-5	1680	-2	1680	-14
1690	-4	1690	-3	1690	-14
1700	-3	1700	0	1700	-14
1710	-4	1710	0	1710	-14
1720	-5	1720	-4	1720	-15
1730	-4	1730	-4	1730	-14
1740	-3	1740	0	1740	-12
1750	-3	1750	0	1750	-14
1760	-3	1760	-2	1760	-17
1770	-4	1770	-4	1770	-15
1780	-4	1780	-4	1780	-17
1790	-4	1790	-3	1790	-15
1800	-4	1800	-4	1800	-13
1810	-5	1810	-4	1810	-13
1820	-4	1820	-3	1820	-14
1830	-3	1830	-4	1830	-15
1840	-4	1840	-2	1840	-13
1850	-6	1850	1	1850	-14
1860	-6	1860	0	1860	-17
1870	-4	1870	-2	1870	-17
1880	-3	1880	-2	1880	-15
1890	-2	1890	-2	1890	-15
1900	0	1900	-4	1900	-15
1910	0	1910	-3	1910	-13
1920	-2	1920	-2	1920	-11
1930	-3	1930	-3	1930	-13
1940	-3	1940	-2	1940	-13
1950	-3	1950	0	1950	-13
1960	-5	1960	-3	1960	-15
1970	-5	1970	-3	1970	-15
1980	-4	1980	-2	1980	-15
1990	-3	1990	-2	1990	-15
2000	-4	2000	-2	2000	-15
2010	-5	2010	-2	2010	-13
2020	-4	2020	-2	2020	-12
2030	-4	2030	-2	2030	-13
2040	-3	2040	-5	2040	-15
2050	-2	2050	-4	2050	-14
2060	-3	2060	-4	2060	-13
2070	-6	2070	-5	2070	-14
2080	-7	2080	-5	2080	-14
2090	-5	2090	-3	2090	-13
2100	-3	2100	-2	2100	-13
2110	-2	2110	2	2110	-13
2120	-2	2120	0	2120	-15
2130	-2	2130	-4	2130	-14
2140	-4	2140	-2	2140	-14
2150	-4	2150	1	2150	-15
2160	-4	2160	1	2160	-15
2170	-6	2170	-2	2170	-17
2180	-6	2180	0	2180	-13
2190	-4	2190	0	2190	-13
2200	-4	2200	-3	2200	-14
2210	-4	2210	-5	2210	-14
2220	-3	2220	-2	2220	-13
2230	-4	2230	-3	2230	-14
2240	-5	2240	-5	2240	-14
2250	-4	2250	-4	2250	-14
2260	-4	2260	-4	2260	-15
2270	-5	2270	-2	2270	-17
2280	-6	2280	-2	2280	-17
2290	-4	2290	-2	2290	-15
2300	-4	2300	-3	2300	-15
2310	-4	2310	-2	2310	-14
2320	-4	2320	0	2320	-15
2330	-3	2330	-2	2330	-17
2340	-4	2340	-2	2340	-15
2350	-4	2350	-2	2350	-13
2360	-4	2360	0	2360	-13
2370	-4	2370	-2	2370	-14
2380	-3	2380	-3	2380	-15
2390	-3	2390	-5	2390	-17
2400	-4	2400	-4	2400	-17
2410	-5	2410	-2	2410	-15
2420	-5	2420	-3	2420	-17
2430	-3	2430	-5	2430	-17
2440	-3	2440	-6	2440	-17
2450	-4	2450	-5	2450	-15
2460	-4	2460	-3	2460	-13
2470	-4	2470	-2	2470	-12
2480	-3	2480	-3	2480	-13
2490	-4	2490	-4	2490	-14
2500	-4	2500	-4	2500	-15
2510	-4	2510	-2	2510	-15
2520	-5	2520	-2	2520	-13
2530	-3	2530	-2	2530	-11
2540	-3	2540	0	2540	-10
2550	-5	2550	-3	2550	-13
2560	-5	2560	-4	2560	-14
2570	-3	2570	-3	2570	-13
2580	-2	2580	0	2580	-13
2590	-3	2590	-2	2590	-13
2600	-3	2600	-4	2600	-14
2610	-4	2610	-3	2610	-17
2620	-4	2620	0	2620	-17
