Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ScalingNoWM_meas.csv" 
"Starttime of export" 133020893269090000 "dinsdag 12 juli 2022" 10:48:46.909 
"Endtime of export" 133020898800590000 "dinsdag 12 juli 2022" 10:58:00.059 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
880 1.34667969 2.15008545 1.01118469 1 -182 -177 976 0 0
890 0.02671814 0.704406738 3.07762146 1 -183 -180 975 0 0
900 0.137939453 3.02771 1.483429 1 -183 -181 975 0 0
910 1.97976685 1.93603516 2.04536438 1 -181 -178 976 0 0
920 1.01097107 0.8734741 2.23866272 1 -180 -178 975 0 0
930 0.7901764 0.807922363 1.7154541 1 -181 -181 973 0 0
940 1.63795471 4.89019775 1.31080627 1 -183 -184 975 0 0
950 0.52293396 0.2609253 2.012085 1 -184 -184 976 0 0
960 0.0560302734 3.44885254 3.103302 1 -184 -180 976 0 0
970 1.29214478 1.57855225 0.9653473 1 -183 -178 977 0 0
980 2.10870361 2.2387085 3.14318848 1 -184 -181 977 0 0
990 0.8213806 0.6664429 0.48928833 1 -185 -184 976 0 0
1000 0.357330322 2.10333252 1.09690857 1 -185 -184 975 0 0
1010 1.48294067 1.809082 1.63108826 1 -184 -182 975 0 0
1020 0.302230835 3.05084229 2.44992065 1 -183 -183 976 0 0
1030 1.12109375 1.91070557 1.05514526 1 -184 -184 977 0 0
1040 0.197036743 0.0405273438 1.43769836 1 -185 -182 975 0 0
1050 2.278839 0.737731934 0.476104736 1 -183 -181 972 0 0
1060 1.225235 3.9921875 2.16970825 1 -182 -183 973 0 0
1070 1.60665894 0.0411376953 0.7653961 1 -184 -184 973 0 0
1080 3.24983215 3.64263916 1.38247681 1 -182 -185 973 0 0
1090 2.12776184 1.64337158 3.492859 1 -181 -183 971 0 0
1100 2.975769 6.092224 4.03912354 1 -185 -184 972 0 0
1110 2.73350525 1.22033691 0.750885 1 -185 -188 975 0 0
1120 1.9499054 2.604309 4.571747 1 -185 -185 975 0 0
1130 0.2924652 2.357605 1.69430542 1 -187 -183 976 0 0
1140 2.77145386 1.62359619 2.78245544 1 -185 -181 976 0 0
1150 2.29718018 1.23822021 2.21684265 1 -185 -180 975 0 0
1160 2.736267 0.5845337 0.292266846 1 -184 -181 973 0 0
1170 2.53666687 6.150757 0.389678955 1 -184 -181 976 0 0
1180 1.7122345 0.141052246 0.7928772 1 -184 -180 978 0 0
1190 2.34120178 3.550293 2.32373047 1 -180 -181 978 0 0
1200 4.06188965 0.393127441 0.463409424 1 -181 -183 978 0 0
1210 3.48747253 2.258606 0.4169159 1 -187 -184 977 0 0
1220 6.56300354 0.71484375 3.712143 1 -184 -181 976 0 0
1230 0.3717804 3.03594971 2.461975 1 -179 -180 976 0 0
1240 0.9892273 1.8348999 0.299636841 1 -179 -181 977 0 0
1250 4.25325 2.91815186 0.54737854 1 -183 -181 978 0 0
1260 2.47236633 0.0341186523 0.8358002 1 -184 -182 977 0 0
1270 0.7238312 3.65203857 2.66775513 1 -183 -180 977 0 0
1280 0.512237549 1.37249756 0.331207275 1 -183 -177 978 0 0
1290 1.49804688 1.4239502 2.4647522 1 -184 -178 977 0 0
1300 1.325943 4.399658 1.25184631 1 -184 -178 979 0 0
1310 9.15527344E-05 1.27893066 1.59091187 1 -183 -178 978 0 0
1320 1.21740723 0.191040039 1.21954346 1 -184 -180 973 0 0
1330 4.00390625 2.852295 1.05500793 1 -181 -180 972 0 0
1340 4.90827942 4.04626465 1.81358337 1 -182 -181 975 0 0
1350 1.56440735 0.005493164 2.303955 1 -184 -185 975 0 0
1360 2.1085968 1.68652344 3.99807739 1 -185 -184 973 0 0
1370 1.00411987 4.18511963 2.58665466 1 -188 -184 975 0 0
1380 2.69754028 0.002319336 1.50950623 1 -187 -185 975 0 0
1390 2.273529 3.74249268 0.3426056 1 -183 -184 975 0 0
1400 0.445281982 1.2857666 0.8628235 1 -181 -183 976 0 0
1410 2.63725281 3.453003 0.123474121 1 -183 -182 977 0 0
1420 0.247116089 0.45135498 0.464279175 1 -185 -181 976 0 0
1430 1.34442139 3.107727 1.00656128 1 -184 -181 975 0 0
1440 0.22833252 0.881652832 0.268280029 1 -183 -181 975 0 0
1450 4.20523071 3.862671 0.6736603 1 -187 -181 976 0 0
1460 2.94406128 0.730834961 0.144088745 1 -188 -181 975 0 0
1470 1.29373169 4.42449951 0.5366211 1 -185 -180 975 0 0
1480 1.260025 2.28411865 1.98658752 1 -185 -181 973 0 0
1490 4.795227 5.75354 0.3638153 1 -181 -182 973 0 0
1500 0.03225708 1.5690918 0.7481537 1 -176 -181 973 0 0
1510 5.103195 6.91156 0.14414978 1 -179 -180 975 0 0
1520 1.89160156 0.6503296 1.59797668 1 -184 -181 977 0 0
1530 0.8708496 5.268799 0.8836975 1 -185 -183 978 0 0
1540 0.77923584 1.0369873 1.04621887 1 -184 -183 978 0 0
1550 0.485656738 1.614502 1.38900757 1 -183 -181 975 0 0
1560 0.5658722 2.20532227 0.475753784 1 -183 -180 975 0 0
1570 0.722061157 1.673523 1.191452 1 -184 -181 975 0 0
1580 0.36416626 2.17449951 0.2808075 1 -185 -182 975 0 0
1590 0.5314026 0.254577637 1.25486755 1 -185 -181 973 0 0
1600 0.729019165 2.93078613 0.270278931 1 -184 -180 972 0 0
1610 0.7303772 1.04095459 2.7210083 1 -184 -177 972 0 0
1620 1.43128967 0.258422852 4.34861755 1 -183 -178 969 0 0
1630 2.52949524 5.888916 0.2236023 1 -184 -181 971 0 0
1640 2.91168213 5.378784 0.6492157 1 -183 -182 978 0 0
1650 2.694458 2.184204 2.87814331 1 -183 -180 977 0 0
1660 3.83503723 1.62249756 0.55960083 1 -181 -178 973 0 0
1670 2.813034 0.152648926 2.29135132 1 -180 -180 971 0 0
1680 0.5969391 4.45404053 0.7187195 1 -182 -181 972 0 0
1690 1.76133728 2.62902832 0.44682312 1 -184 -181 975 0 0
1700 3.64598083 2.31622314 1.42544556 1 -182 -180 976 0 0
1710 2.228714 0.5526123 2.37179565 1 -181 -181 975 0 0
1720 1.27444458 1.11749268 1.92866516 1 -181 -181 973 0 0
1730 2.449936 2.61004639 2.55776978 1 -182 -182 973 0 0
1740 0.180709839 1.28942871 3.24710083 1 -184 -181 973 0 0
1750 0.537796 4.522705 1.72926331 1 -185 -180 975 0 0
1760 4.87161255 0.366027832 0.995834351 1 -181 -180 975 0 0
1770 5.510071 0.9437256 1.13806152 1 -182 -180 972 0 0
1780 1.87385559 3.78747559 3.39666748 1 -188 -184 973 0 0
1790 3.62529 4.36242676 4.440567 1 -187 -183 977 0 0
1800 0.291793823 1.17974854 0.2720642 1 -185 -180 976 0 0
1810 1.21104431 0.7615967 0.3552246 1 -184 -180 972 0 0
1820 0.7471924 3.99182129 1.20687866 1 -182 -181 973 0 0
1830 0.3239441 2.04022217 0.7953186 1 -181 -181 975 0 0
1840 0.418151855 3.77545166 0.194702148 1 -180 -180 977 0 0
1850 2.2645874 0.807006836 0.572525 1 -181 -180 976 0 0
