Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\Scope Project.csv" 
"Starttime of export" 133020853977090000 "dinsdag 12 juli 2022" 09:43:17.709 
"Endtime of export" 133020859536590000 "dinsdag 12 juli 2022" 09:52:33.659 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
880 2.414322 4.797241 1.64440918 1 -182 -181 976 0 0
890 1.37260437 0.68170166 2.110077 1 -181 -180 976 0 0
900 0.5145111 1.227356 0.8594055 1 -182 -177 973 0 0
910 1.12969971 1.53259277 4.832947 1 -181 -180 972 0 0
920 1.38995361 3.235962 1.68249512 1 -181 -182 973 0 0
930 1.305893 0.7034912 0.9738922 1 -183 -180 973 0 0
940 2.14468384 1.027832 0.9322815 1 -182 -178 971 0 0
950 0.9007416 0.713256836 3.510849 1 -181 -180 969 0 0
960 1.31219482 2.97406 2.671585 1 -180 -180 969 0 0
970 2.636032 2.91760254 0.280502319 1 -181 -178 971 0 0
980 0.156723022 0.991394043 2.42074585 1 -183 -180 971 0 0
990 0.654785156 2.7699585 1.896286 1 -184 -180 971 0 0
1000 1.89173889 3.19073486 2.41596985 1 -183 -176 973 0 0
1010 0.494689941 0.211242676 4.01689148 1 -182 -177 972 0 0
1020 1.14476013 3.82769775 1.41868591 1 -181 -181 972 0 0
1030 1.38084412 3.17059326 2.607956 1 -181 -180 975 0 0
1040 0.2998047 0.762390137 2.997879 1 -182 -181 975 0 0
1050 0.118453979 1.04730225 1.68070984 1 -182 -182 971 0 0
1060 2.21989441 3.58135986 0.917190552 1 -184 -182 970 0 0
1070 2.10404968 3.460022 1.0279541 1 -184 -182 973 0 0
1080 0.4667511 0.431640625 1.37051392 1 -183 -180 972 0 0
1090 0.7233124 5.04760742 0.511795044 1 -184 -178 973 0 0
1100 2.6932373 0.861694336 4.25215149 1 -182 -181 973 0 0
1110 0.436416626 3.41168213 3.45321655 1 -179 -181 972 0 0
1120 3.39961243 1.49914551 1.76135254 1 -181 -180 973 0 0
1130 0.3208313 4.26660156 3.12226868 1 -183 -178 975 0 0
1140 0.146194458 3.178711 1.25624084 1 -183 -176 972 0 0
1150 1.17318726 3.52148438 0.1280365 1 -182 -176 969 0 0
1160 1.15901184 1.46856689 2.8181 1 -182 -178 970 0 0
1170 1.28286743 7.316162 0.00386047363 1 -184 -180 975 0 0
1180 1.279129 1.90197754 1.72425842 1 -184 -182 976 0 0
1190 3.13826 4.39349365 2.06169128 1 -180 -182 975 0 0
1200 2.34500122 0.362182617 0.15322876 1 -179 -181 975 0 0
1210 2.04458618 1.89666748 0.2206726 1 -182 -181 973 0 0
1220 2.57365417 2.067688 3.858673 1 -181 -177 969 0 0
1230 1.36712646 5.47802734 4.103302 1 -180 -177 969 0 0
1240 0.414932251 0.335327148 0.546234131 1 -181 -180 970 0 0
1250 1.870285 4.9198 0.49671936 1 -183 -181 971 0 0
1260 3.23724365 1.23474121 0.664917 1 -188 -181 973 0 0
1270 2.91560364 2.6618042 0.6410675 1 -189 -180 973 0 0
1280 3.899002 0.396911621 1.33450317 1 -184 -178 972 0 0
1290 1.3475647 3.32080078 4.725937 1 -182 -181 972 0 0
1300 3.39520264 0.6444702 4.97921753 1 -179 -180 972 0 0
1310 4.983551 0.987609863 4.1166687 1 -180 -180 970 0 0
1320 6.1890564 2.702942 1.14880371 1 -177 -182 970 0 0
1330 6.305176 2.09436035 0.4293213 1 -177 -181 971 0 0
1340 0.0517578125 2.64379883 0.640380859 1 -181 -180 972 0 0
1350 0.072769165 2.2409668 1.81311035 1 -181 -181 973 0 0
1360 1.06652832 0.6031494 1.42703247 1 -182 -181 972 0 0
1370 1.04670715 1.09906 1.20117188 1 -182 -181 970 0 0
1380 0.28338623 1.65216064 3.87226868 1 -181 -178 969 0 0
1390 0.6039734 4.13146973 3.95671082 1 -180 -178 971 0 0
1400 1.884491 0.122192383 0.460281372 1 -181 -180 971 0 0
1410 0.6096802 3.72869873 1.45645142 1 -183 -181 971 0 0
1420 0.8221283 0.307556152 0.310302734 1 -183 -182 971 0 0
1430 0.430511475 1.38555908 1.07640076 1 -183 -181 969 0 0
1440 3.48825073 3.41448975 0.101593018 1 -180 -180 970 0 0
1450 2.4092865 3.52111816 0.397491455 1 -179 -180 973 0 0
1460 0.828918457 0.596618652 1.96366882 1 -181 -182 972 0 0
1470 0.501312256 3.15539551 0.190155029 1 -182 -184 971 0 0
1480 2.53161621 1.80090332 0.2021637 1 -185 -185 972 0 0
1490 3.73378 0.08618164 0.8744812 1 -184 -185 970 0 0
1500 1.30307007 4.605652 1.80978394 1 -180 -183 971 0 0
1510 1.779068 0.4477539 0.592773438 1 -180 -182 972 0 0
1520 3.19224548 4.190857 1.06672668 1 -184 -181 973 0 0
1530 4.956009 1.08789063 0.4627533 1 -182 -180 972 0 0
1540 2.14604187 5.617676 2.39936829 1 -180 -182 973 0 0
1550 0.07307434 1.46234131 1.78067017 1 -181 -182 973 0 0
1560 1.36735535 6.93310547 0.425735474 1 -182 -180 975 0 0
1570 3.042221 1.60028076 1.99191284 1 -180 -181 976 0 0
1580 3.971634 1.03509521 0.296051025 1 -181 -182 972 0 0
1590 0.9556885 0.686035156 1.26153564 1 -183 -183 970 0 0
1600 0.4907074 5.045288 1.19871521 1 -182 -183 972 0 0
1610 1.46290588 0.9013672 2.1530304 1 -183 -180 972 0 0
1620 0.310592651 4.472595 0.424819946 1 -184 -178 972 0 0
1630 3.054016 0.3421631 3.7444458 1 -181 -181 972 0 0
1640 2.06434631 3.92333984 2.86135864 1 -176 -181 972 0 0
1650 4.22987366 0.026550293 1.42858887 1 -177 -180 972 0 0
1660 2.34350586 4.55328369 0.74772644 1 -177 -180 973 0 0
1670 2.72506714 1.43377686 1.93972778 1 -177 -181 975 0 0
1680 1.51954651 2.24255371 2.50160217 1 -180 -180 975 0 0
1690 0.6707306 1.41717529 0.325286865 1 -182 -178 972 0 0
1700 2.06102 3.92071533 2.53141785 1 -181 -180 971 0 0
1710 2.49906921 0.9069214 3.87261963 1 -177 -178 970 0 0
1720 1.83805847 3.3480835 2.75239563 1 -176 -177 969 0 0
1730 2.54974365 2.49743652 0.408630371 1 -174 -178 971 0 0
1740 5.256897 3.220398 2.72555542 1 -176 -180 973 0 0
1750 0.680892944 0.3838501 2.34002686 1 -179 -180 972 0 0
1760 1.2902832 3.92810059 3.78189087 1 -180 -182 972 0 0
1770 1.43171692 4.06866455 2.562271 1 -180 -183 976 0 0
1780 0.1308899 0.9411011 0.412353516 1 -179 -182 977 0 0
1790 0.152664185 1.267395 1.54005432 1 -179 -181 973 0 0
1800 0.05656433 4.72003174 1.63752747 1 -179 -178 973 0 0
1810 0.131866455 0.6687622 4.19868469 1 -179 -180 973 0 0
1820 1.99568176 3.1809082 1.12593079 1 -181 -182 972 0 0
1830 1.94474792 0.239379883 0.378891 1 -181 -181 971 0 0
1840 2.31654358 3.83795166 0.6251373 1 -182 -180 971 0 0
1850 0.765945435 2.1895752 0.843551636 1 -185 -180 973 0 0
1860 2.56347656 0.2611084 0.3707428 1 -184 -180 971 0 0
1870 2.42668152 1.91998291 1.574585 1 -180 -181 969 0 0
1880 3.52952576 4.866394 1.25282288 1 -181 -181 972 0 0
1890 3.548233 2.23736572 1.041153 1 -180 -181 975 0 0
1900 0.328537 1.58178711 4.76754761 1 -177 -177 975 0 0
1910 2.85238647 0.8946533 3.901657 1 -179 -176 972 0 0
1920 0.8369751 4.38067627 0.01689148 1 -180 -178 972 0 0
1930 2.824295 0.344055176 2.40757751 1 -182 -180 972 0 0
1940 1.565094 3.95257568 2.063034 1 -183 -180 972 0 0
1950 1.180893 1.10717773 1.5763092 1 -181 -180 973 0 0
1960 3.10551453 5.62207031 1.28482056 1 -183 -180 976 0 0
1970 2.77705383 2.39709473 0.959960938 1 -183 -178 975 0 0
1980 3.971878 3.819519 0.31552124 1 -177 -177 973 0 0
