Name "YT Scope Project" 
File "H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\ReplayNoWM_meas.csv" 
"Starttime of export" 133020803605410000 "dinsdag 12 juli 2022" 08:19:20.541 
"Endtime of export" 133020809192010000 "dinsdag 12 juli 2022" 08:28:39.201 


Name y_r1[0] y_r1[1] y_r2[0] TriggerCA y_q[0] y_q[1] y_q[2] u_c[0] u_c[1]
880 1.09994507 1.15301514 0.597549438 1 -183 -185 971 0 0
890 2.519043 0.381286621 2.28569031 1 -181 -182 968 0 0
900 2.79425049 6.95562744 1.80213928 1 -181 -181 971 0 0
910 0.418045044 2.64666748 0.403274536 1 -183 -181 971 0 0
920 0.2495575 4.04126 5.16716 1 -183 -185 969 0 0
930 0.6989746 2.02191162 3.44122314 1 -182 -186 971 0 0
940 1.90797424 0.183044434 2.293869 1 -183 -186 969 0 0
950 0.450775146 3.82391357 2.15574646 1 -184 -186 969 0 0
960 3.22607422 2.2399292 1.5100708 1 -187 -186 971 0 0
970 5.339493 1.73150635 1.339798 1 -185 -186 971 0 0
980 2.17713928 2.14300537 0.992095947 1 -183 -184 971 0 0
990 1.31454468 2.72698975 0.282135 1 -183 -183 972 0 0
1000 1.4269104 2.2020874 2.44212341 1 -183 -185 973 0 0
1010 0.192184448 0.325256348 1.10420227 1 -184 -188 971 0 0
1020 2.91171265 2.972107 0.5463562 1 -187 -189 970 0 0
1030 2.9332428 1.92895508 1.28942871 1 -187 -188 967 0 0
1040 2.90756226 3.48065186 3.23858643 1 -188 -184 965 0 0
1050 5.86198425 3.63262939 4.423172 1 -185 -185 968 0 0
1060 5.00775146 3.42791748 2.1007843 1 -185 -186 971 0 0
1070 0.7112732 1.61169434 0.8093262 1 -188 -185 972 0 0
1080 3.85015869 0.313781738 0.7418213 1 -184 -186 970 0 0
1090 3.71359253 2.39160156 1.50299072 1 -184 -188 969 0 0
1100 1.43440247 4.52209473 3.58581543 1 -185 -186 972 0 0
1110 0.381286621 2.62792969 5.105438 1 -184 -188 975 0 0
1120 0.151763916 0.68963623 7.361206 1 -184 -185 973 0 0
1130 2.72814941 1.296875 5.466461 1 -181 -184 970 0 0
1140 1.21737671 4.442749 2.62921143 1 -179 -185 972 0 0
1150 2.33810425 2.56848145 0.4699707 1 -181 -183 975 0 0
1160 0.73349 1.30224609 1.55621338 1 -183 -181 975 0 0
1170 1.54273987 0.512390137 5.420059 1 -182 -184 972 0 0
1180 0.471984863 1.09844971 0.869751 1 -180 -189 969 0 0
1190 3.098755 1.60430908 2.74591064 1 -182 -188 968 0 0
1200 0.6555786 1.19464111 1.33461 1 -185 -185 967 0 0
1210 1.91949463 4.630371 6.44271851 1 -188 -190 969 0 0
1220 5.626526 3.60351563 6.07312 1 -185 -190 973 0 0
1230 3.38046265 1.541565 0.178878784 1 -184 -186 971 0 0
1240 3.5337677 4.06555176 2.37260437 1 -183 -188 970 0 0
1250 3.22946167 2.99731445 3.95143127 1 -183 -186 973 0 0
1260 2.77322388 2.04125977 6.658493 1 -188 -189 970 0 0
1270 4.060669 2.60534668 5.64030457 1 -187 -189 967 0 0
1280 7.14489746 1.3994751 0.6863098 1 -177 -184 967 0 0
1290 7.755417 4.260681 1.68612671 1 -177 -184 969 0 0
1300 0.5657196 0.688598633 0.5763397 1 -181 -185 970 0 0
1310 3.84759521 1.99639893 1.95048523 1 -184 -183 969 0 0
1320 0.5704193 2.88653564 2.49620056 1 -188 -183 970 0 0
1330 1.61999512 0.173828125 0.7671509 1 -188 -185 969 0 0
1340 0.418533325 3.61248779 0.480987549 1 -188 -185 969 0 0
1350 1.98278809 2.51525879 3.52171326 1 -187 -188 971 0 0
1360 2.64744568 2.4788208 2.426834 1 -183 -189 972 0 0
1370 3.901184 0.5784912 0.2521057 1 -184 -188 970 0 0
1380 0.299514771 2.196289 3.44732666 1 -187 -185 968 0 0
1390 0.564926147 2.76660156 6.3576355 1 -187 -188 969 0 0
1400 1.23851013 2.25231934 4.328308 1 -188 -189 970 0 0
1410 1.34677124 0.7364502 2.936264 1 -188 -183 969 0 0
1420 0.161422729 1.09979248 4.57862854 1 -187 -184 967 0 0
1430 3.78739929 5.74945068 3.911438 1 -183 -183 970 0 0
1440 4.065811 0.5244751 2.99760437 1 -183 -182 971 0 0
1450 0.400085449 1.123291 2.56437683 1 -185 -186 968 0 0
